Date,Open,High,Low,Close,Adj Close,Volume
4/5/19,22.35,22.35,22.35,22.35,17.749359,0
4/8/19,22.370001,22.370001,22.370001,22.370001,17.765242,0
4/9/19,22.299999,22.299999,22.299999,22.299999,17.70965,0
4/10/19,22.34,22.34,22.34,22.34,17.741417,0
4/11/19,22.33,22.33,22.33,22.33,17.733473,0
4/12/19,22.41,22.41,22.41,22.41,17.797009,0
4/15/19,22.389999,22.389999,22.389999,22.389999,17.781124,0
4/16/19,22.4,22.4,22.4,22.4,17.789068,0
4/17/19,22.389999,22.389999,22.389999,22.389999,17.781124,0
4/18/19,22.379999,22.379999,22.379999,22.379999,17.773182,0
4/22/19,22.379999,22.379999,22.379999,22.379999,17.773182,0
4/23/19,22.469999,22.469999,22.469999,22.469999,17.84466,0
4/24/19,22.440001,22.440001,22.440001,22.440001,17.820835,0
4/25/19,22.379999,22.379999,22.379999,22.379999,17.773182,0
4/26/19,22.41,22.41,22.41,22.41,17.797009,0
4/29/19,22.42,22.42,22.42,22.42,17.804947,0
4/30/19,22.5,22.5,22.5,22.5,17.868484,0
5/1/19,22.370001,22.370001,22.370001,22.370001,17.765242,0
5/2/19,22.33,22.33,22.33,22.33,17.733473,0
5/3/19,22.48,22.48,22.48,22.48,17.852596,0
5/6/19,22.389999,22.389999,22.389999,22.389999,17.781124,0
5/7/19,22.190001,22.190001,22.190001,22.190001,17.622295,0
5/8/19,22.16,22.16,22.16,22.16,17.598469,0
5/9/19,22.110001,22.110001,22.110001,22.110001,17.558764,0
5/10/19,22.190001,22.190001,22.190001,22.190001,17.622295,0
5/13/19,21.950001,21.950001,21.950001,21.950001,17.431696,0
5/14/19,22.049999,22.049999,22.049999,22.049999,17.51111,0
5/15/19,22.1,22.1,22.1,22.1,17.550819,0
5/16/19,22.190001,22.190001,22.190001,22.190001,17.622295,0
5/17/19,22.110001,22.110001,22.110001,22.110001,17.558764,0
5/20/19,22.030001,22.030001,22.030001,22.030001,17.495232,0
5/21/19,22.1,22.1,22.1,22.1,17.550819,0
5/22/19,22.09,22.09,22.09,22.09,17.542885,0
5/23/19,22,22,22,22,17.471405,0
5/24/19,22.040001,22.040001,22.040001,22.040001,17.50317,0
5/28/19,21.879999,21.879999,21.879999,21.879999,17.376108,0
5/29/19,21.790001,21.790001,21.790001,21.790001,17.304632,0
5/30/19,21.82,21.82,21.82,21.82,17.328457,0
5/31/19,21.700001,21.700001,21.700001,21.700001,17.233162,0
6/3/19,21.84,21.84,21.84,21.84,17.344337,0
6/4/19,22.040001,22.040001,22.040001,22.040001,17.50317,0
6/5/19,22.120001,22.120001,22.120001,22.120001,17.566708,0
6/6/19,22.200001,22.200001,22.200001,22.200001,17.630234,0
6/7/19,22.32,22.32,22.32,22.32,17.725534,0
6/10/19,22.379999,22.379999,22.379999,22.379999,17.773182,0
6/11/19,22.42,22.42,22.42,22.42,17.804947,0
6/12/19,22.23,22.23,22.23,22.23,17.784948,0
6/13/19,22.27,22.27,22.27,22.27,17.816952,0
6/14/19,22.219999,22.219999,22.219999,22.219999,17.776947,0
6/17/19,22.209999,22.209999,22.209999,22.209999,17.768948,0
6/18/19,22.370001,22.370001,22.370001,22.370001,17.896954,0
6/19/19,22.440001,22.440001,22.440001,22.440001,17.952959,0
6/20/19,22.559999,22.559999,22.559999,22.559999,18.048962,0
6/21/19,22.530001,22.530001,22.530001,22.530001,18.02496,0
6/24/19,22.52,22.52,22.52,22.52,18.016962,0
6/25/19,22.41,22.41,22.41,22.41,17.928957,0
6/26/19,22.35,22.35,22.35,22.35,17.880955,0
6/27/19,22.42,22.42,22.42,22.42,17.936954,0
6/28/19,22.5,22.5,22.5,22.5,18.000961,0
7/1/19,22.59,22.59,22.59,22.59,18.072964,0
7/2/19,22.67,22.67,22.67,22.67,18.136965,0
7/3/19,22.780001,22.780001,22.780001,22.780001,18.224972,0
7/5/19,22.700001,22.700001,22.700001,22.700001,18.160971,0
7/8/19,22.629999,22.629999,22.629999,22.629999,18.104967,0
7/9/19,22.6,22.6,22.6,22.6,18.080969,0
7/10/19,22.66,22.66,22.66,22.66,18.128969,0
7/11/19,22.610001,22.610001,22.610001,22.610001,18.088966,0
7/12/19,22.68,22.68,22.68,22.68,18.14497,0
7/15/19,22.700001,22.700001,22.700001,22.700001,18.160971,0
7/16/19,22.68,22.68,22.68,22.68,18.14497,0
7/17/19,22.620001,22.620001,22.620001,22.620001,18.096966,0
7/18/19,22.700001,22.700001,22.700001,22.700001,18.160971,0
7/19/19,22.629999,22.629999,22.629999,22.629999,18.104967,0
7/22/19,22.66,22.66,22.66,22.66,18.128969,0
7/23/19,22.75,22.75,22.75,22.75,18.20097,0
7/24/19,22.809999,22.809999,22.809999,22.809999,18.248976,0
7/25/19,22.75,22.75,22.75,22.75,18.20097,0
7/26/19,22.780001,22.780001,22.780001,22.780001,18.224972,0
7/29/19,22.780001,22.780001,22.780001,22.780001,18.224972,0
7/30/19,22.73,22.73,22.73,22.73,18.184971,0
7/31/19,22.559999,22.559999,22.559999,22.559999,18.048962,0
8/1/19,22.530001,22.530001,22.530001,22.530001,18.02496,0
8/2/19,22.459999,22.459999,22.459999,22.459999,17.968956,0
8/5/19,22.1,22.1,22.1,22.1,17.680944,0
8/6/19,22.219999,22.219999,22.219999,22.219999,17.776947,0
8/7/19,22.23,22.23,22.23,22.23,17.784948,0
8/8/19,22.48,22.48,22.48,22.48,17.984959,0
8/9/19,22.389999,22.389999,22.389999,22.389999,17.912956,0
8/12/19,22.25,22.25,22.25,22.25,17.800951,0
8/13/19,22.389999,22.389999,22.389999,22.389999,17.912956,0
8/14/19,22.02,22.02,22.02,22.02,17.61694,0
8/15/19,22.08,22.08,22.08,22.08,17.664944,0
8/16/19,22.280001,22.280001,22.280001,22.280001,17.824955,0
8/19/19,22.440001,22.440001,22.440001,22.440001,17.952959,0
8/20/19,22.35,22.35,22.35,22.35,17.880955,0
8/21/19,22.51,22.51,22.51,22.51,18.008961,0
8/22/19,22.51,22.51,22.51,22.51,18.008961,0
8/23/19,22.219999,22.219999,22.219999,22.219999,17.776947,0
8/26/19,22.290001,22.290001,22.290001,22.290001,17.832952,0
8/27/19,22.290001,22.290001,22.290001,22.290001,17.832952,0
8/28/19,22.389999,22.389999,22.389999,22.389999,17.912956,0
8/29/19,22.530001,22.530001,22.530001,22.530001,18.02496,0
8/30/19,22.57,22.57,22.57,22.57,18.056965,0
9/3/19,22.5,22.5,22.5,22.5,18.000961,0
9/4/19,22.690001,22.690001,22.690001,22.690001,18.152969,0
9/5/19,22.790001,22.790001,22.790001,22.790001,18.232975,0
9/6/19,22.860001,22.860001,22.860001,22.860001,18.288975,0
9/9/19,22.85,22.85,22.85,22.85,18.280975,0
9/10/19,22.84,22.84,22.84,22.84,18.272974,0
9/11/19,22.76,22.76,22.76,22.76,18.341475,0
9/12/19,22.790001,22.790001,22.790001,22.790001,18.36565,0
9/13/19,22.75,22.75,22.75,22.75,18.333412,0
9/16/19,22.73,22.73,22.73,22.73,18.317297,0
9/17/19,22.799999,22.799999,22.799999,22.799999,18.373705,0
9/18/19,22.799999,22.799999,22.799999,22.799999,18.373705,0
9/19/19,22.799999,22.799999,22.799999,22.799999,18.373705,0
9/20/19,22.77,22.77,22.77,22.77,18.349535,0
9/23/19,22.76,22.76,22.76,22.76,18.341475,0
9/24/19,22.700001,22.700001,22.700001,22.700001,18.293121,0
9/25/19,22.709999,22.709999,22.709999,22.709999,18.30118,0
9/26/19,22.74,22.74,22.74,22.74,18.325356,0
9/27/19,22.709999,22.709999,22.709999,22.709999,18.30118,0
9/30/19,22.74,22.74,22.74,22.74,18.325356,0
10/1/19,22.57,22.57,22.57,22.57,18.18836,0
10/2/19,22.290001,22.290001,22.290001,22.290001,17.962715,0
10/3/19,22.41,22.41,22.41,22.41,18.059422,0
10/4/19,22.59,22.59,22.59,22.59,18.204477,0
10/7/19,22.52,22.52,22.52,22.52,18.148066,0
10/8/19,22.34,22.34,22.34,22.34,18.003008,0
10/9/19,22.450001,22.450001,22.450001,22.450001,18.091652,0
10/10/19,22.540001,22.540001,22.540001,22.540001,18.164186,0
10/11/19,22.67,22.67,22.67,22.67,18.268942,0
10/14/19,22.639999,22.639999,22.639999,22.639999,18.24477,0
10/15/19,22.75,22.75,22.75,22.75,18.333412,0
10/16/19,22.74,22.74,22.74,22.74,18.325356,0
10/17/19,22.780001,22.780001,22.780001,22.780001,18.357592,0
10/18/19,22.799999,22.799999,22.799999,22.799999,18.373705,0
10/21/19,22.860001,22.860001,22.860001,22.860001,18.42206,0
10/22/19,22.860001,22.860001,22.860001,22.860001,18.42206,0
10/23/19,22.92,22.92,22.92,22.92,18.470407,0
10/24/19,22.969999,22.969999,22.969999,22.969999,18.510704,0
10/25/19,23.01,23.01,23.01,23.01,18.542938,0
10/28/19,23.040001,23.040001,23.040001,23.040001,18.567116,0
10/29/19,23.07,23.07,23.07,23.07,18.591291,0
10/30/19,23.139999,23.139999,23.139999,23.139999,18.647699,0
10/31/19,23.07,23.07,23.07,23.07,18.591291,0
11/1/19,23.190001,23.190001,23.190001,23.190001,18.687996,0
11/4/19,23.26,23.26,23.26,23.26,18.744408,0
11/5/19,23.23,23.23,23.23,23.23,18.72023,0
11/6/19,23.25,23.25,23.25,23.25,18.736347,0
11/7/19,23.23,23.23,23.23,23.23,18.72023,0
11/8/19,23.24,23.24,23.24,23.24,18.728285,0
11/11/19,23.209999,23.209999,23.209999,23.209999,18.704109,0
11/12/19,23.23,23.23,23.23,23.23,18.72023,0
11/13/19,23.23,23.23,23.23,23.23,18.72023,0
11/14/19,23.25,23.25,23.25,23.25,18.736347,0
11/15/19,23.35,23.35,23.35,23.35,18.816935,0
11/18/19,23.370001,23.370001,23.370001,23.370001,18.83305,0
11/19/19,23.34,23.34,23.34,23.34,18.808872,0
11/20/19,23.32,23.32,23.32,23.32,18.792753,0
11/21/19,23.290001,23.290001,23.290001,23.290001,18.768579,0
11/22/19,23.32,23.32,23.32,23.32,18.792753,0
11/25/19,23.42,23.42,23.42,23.42,18.873344,0
11/26/19,23.450001,23.450001,23.450001,23.450001,18.89752,0
11/27/19,23.49,23.49,23.49,23.49,18.929754,0
11/29/19,23.43,23.43,23.43,23.43,18.881403,0
12/2/19,23.309999,23.309999,23.309999,23.309999,18.784697,0
12/3/19,23.25,23.25,23.25,23.25,18.736347,0
12/4/19,23.360001,23.360001,23.360001,23.360001,18.824993,0
12/5/19,23.379999,23.379999,23.379999,23.379999,18.841106,0
12/6/19,23.51,23.51,23.51,23.51,18.945869,0
12/9/19,23.5,23.5,23.5,23.5,18.937813,0
12/10/19,23.49,23.49,23.49,23.49,18.929754,0
12/11/19,23.540001,23.540001,23.540001,23.540001,18.970049,0
12/12/19,23.66,23.66,23.66,23.66,19.066748,0
12/13/19,23.68,23.68,23.68,23.68,19.082867,0
12/16/19,23.82,23.82,23.82,23.82,19.195688,0
12/17/19,23.059999,23.059999,23.059999,23.059999,19.189865,0
12/18/19,23.08,23.08,23.08,23.08,19.206503,0
12/19/19,23.129999,23.129999,23.129999,23.129999,19.248114,0
12/20/19,23.209999,23.209999,23.209999,23.209999,19.314686,0
12/23/19,23.209999,23.209999,23.209999,23.209999,19.314686,0
